State,Food_Item,Category,Spice_Level,Season,Price_Range,Diet_Type,Festival
Tripura,Muya,Non-Vegetarian,Medium,All,₹200 - ₹400,Non-Vegetarian,Poila Baisakh
Tripura,Chingri Malai Curry,Non-Vegetarian,Medium,All,₹350 - ₹500,Non-Vegetarian,Poila Baisakh
Tripura,Patishapta,Dessert,Low,Winter,₹100 - ₹200,Vegetarian,Durga Puja
Sikkim,Phagshapa,Non-Vegetarian,Medium,All,₹250 - ₹400,Non-Vegetarian,Lhosar
Sikkim,Momos,Vegetarian,Low,All,₹100 - ₹200,Vegetarian,Lhosar
Andhra Pradesh,Andhra Chicken Curry,Non-Vegetarian,High,All,₹250 - ₹500,Non-Vegetarian,Ugadi
Andhra Pradesh,Pesarattu,Vegetarian,Medium,All,₹150 - ₹250,Vegetarian,Ugadi
Andhra Pradesh,Upma,Vegetarian,Low,All,₹50 - ₹150,Vegetarian,Republic Day
Andhra Pradesh,Avakaya,Vegetarian,High,Summer,₹100 - ₹250,Vegetarian,Ugadi
Lakshadweep,Fish Curry,Non-Vegetarian,High,All,₹350 - ₹600,Non-Vegetarian,Onam
Lakshadweep,Vegetable Pulao,Vegetarian,Medium,All,₹200 - ₹350,Vegetarian,Diwali
